keyword,search_volume,difficulty,opportunity_score,current_ranking,priority,category,suggested_title
content marketing strategy,180,0.11199999999999999,0.648,8,medium,general,Complete Guide to Content Marketing Strategy
ecommerce seo guide,140,0.13999999999999999,0.626,10,medium,general,Complete Guide to Ecommerce Seo Guide
keyword research tools,150,0.16799999999999998,0.624,12,medium,general,Complete Guide to Keyword Research Tools
seo optimization tips,120,0.21,0.603,15,medium,general,Complete Guide to Seo Optimization Tips
mobile seo optimization,110,0.196,0.602,14,medium,general,Complete Guide to Mobile Seo Optimization
link building techniques,90,0.27999999999999997,0.576,20,medium,general,Complete Guide to Link Building Techniques
local seo best practices,70,0.252,0.5740000000000001,18,medium,comparison,Complete Guide to Local Seo Best Practices
seo analytics dashboard,60,0.308,0.558,22,medium,general,Complete Guide to Seo Analytics Dashboard
technical seo audit,80,0.35,0.5569999999999999,25,medium,general,Complete Guide to Technical Seo Audit
voice search optimization,50,0.42,0.53,30,medium,general,Complete Guide to Voice Search Optimization
